ITERATION, [OBJ_FUNC]STIFFNESSENERGY_OBJ_FUNC, [OBJ]OBJ_FUNC_DRESP:STIFFNESS_MEASURE, [OBJ]OBJ_FUNC_TERM:STIFFNESS_MEASURE, [CON]MASS_CONSTRAINT_1:LE:MASS_DRESP_1, [VAR]STIFFNESS_MEASURE, [VAR]MASS_DRESP_1, [VAR]AV_CONV_ALL_ELEMENTS, [VAR]AV_CHG_OBJF_ALL_ELEMENTS, [VAR]AV_CHG_DV_ALL_ELEMENTS, [VAR]AV_CONV_TRUE_ALL_ELEMENTS
Norm-Values:, 6.6102173e+3, 6.6102173e+3, 6.6102173e+3, 6.9999999e-1, 6.6102173e+3, 3.3201503e+5, 0.0000000, 1.0000000e-3, 4.9999999e-3, 9.9000001e-1
0, 6.6102173e+3, 6.6102173e+3, 6.6102173e+3, 7.0000417e-1, 6.6102173e+3, 2.3241191e+5, 0.0000000, 0.0000000, 0.0000000, 9.9000001e-1
1, 6.2392202e+3, 6.2392202e+3, 6.2392202e+3, 6.9390081e-1, 6.2392202e+3, 2.3038550e+5, 0.0000000, 5.9462089e-2, 2.9952832e-2, 9.9000001e-1
2, 5.8723867e+3, 5.8723867e+3, 5.8723867e+3, 6.9624850e-1, 5.8723867e+3, 2.3116497e+5, 0.0000000, 6.2467530e-2, 2.3027766e-2, 9.9000001e-1
3, 5.6299312e+3, 5.6299312e+3, 5.6299312e+3, 6.9728474e-1, 5.6299312e+3, 2.3150902e+5, 0.0000000, 4.3065459e-2, 1.9622125e-2, 9.9000001e-1
4, 5.4551489e+3, 5.4551489e+3, 5.4551489e+3, 6.9803160e-1, 5.4551489e+3, 2.3175698e+5, 0.0000000, 3.2039862e-2, 1.7345600e-2, 9.9000001e-1
5, 5.3068081e+3, 5.3068081e+3, 5.3068081e+3, 6.9827241e-1, 5.3068081e+3, 2.3183694e+5, 0.0000000, 2.7952926e-2, 1.7097773e-2, 9.9000001e-1
6, 5.1728877e+3, 5.1728877e+3, 5.1728877e+3, 6.9836343e-1, 5.1728877e+3, 2.3186716e+5, 0.0000000, 2.5888907e-2, 1.7629299e-2, 9.9000001e-1
7, 5.0548154e+3, 5.0548154e+3, 5.0548154e+3, 6.9812182e-1, 5.0548154e+3, 2.3178694e+5, 0.0000000, 2.3358373e-2, 1.8971357e-2, 9.9000001e-1
8, 4.9458086e+3, 4.9458086e+3, 4.9458086e+3, 6.9769573e-1, 4.9458086e+3, 2.3164547e+5, 0.0000000, 2.2040246e-2, 2.1171642e-2, 9.9000001e-1
9, 4.8501709e+3, 4.8501709e+3, 4.8501709e+3, 6.9711156e-1, 4.8501709e+3, 2.3145152e+5, 0.0000000, 1.9718418e-2, 2.4137098e-2, 9.9000001e-1
